Year,Age_Bracket,Fatal,Non_Fatal_Injury,Age_Bracket_midpoint,Age_Bracket_ML,Age_Bracket_cat,Non_Fatal_Injury_sqrt
2017,0-17,4,136,9,1,0-17,11.661903789690601
2017,18-34,163,6182,26,2,18-34,78.62569554541314
2017,35-51,91,3589,43,3,35-51,59.90826320300064
2017,52-65,37,1115,58,4,52-65,33.391615714128
2017,66+,22,356,75,5,66+,18.867962264113206
2018,0-17,27,1597,9,1,0-17,39.96248240537617
2018,18-34,154,7168,26,2,18-34,84.6640419540669
2018,35-51,91,3989,43,3,35-51,63.15853069855251
2018,52-65,48,1457,58,4,52-65,38.17066936798463
2018,66+,26,448,75,5,66+,21.166010488516726
2019,0-17,30,1631,9,1,0-17,40.38564101261734
2019,18-34,145,7966,26,2,18-34,89.25245094673872
2019,35-51,93,4573,43,3,35-51,67.62396025078685
2019,52-65,51,1590,58,4,52-65,39.87480407475377
2019,66+,21,509,75,5,66+,22.561028345356956
2020,0-17,14,522,9,1,0-17,22.847319317591726
2020,18-34,134,5599,26,2,18-34,74.82646590612174
2020,35-51,89,3254,43,3,35-51,57.043842787806646
2020,52-65,29,928,58,4,52-65,30.463092423455635
2020,66+,16,251,75,5,66+,15.84297951775486
2021,0-17,12,564,9,1,0-17,23.748684174075834
2021,18-34,143,5992,26,2,18-34,77.40800992145451
2021,35-51,104,3685,43,3,35-51,60.70420084310476
2021,52-65,41,1033,58,4,52-65,32.14031735997639
2021,66+,13,248,75,5,66+,15.748015748023622
2022,0-17,24,900,9,1,0-17,30.0
2022,18-34,168,6792,26,2,18-34,82.41359111214607
2022,35-51,101,4340,43,3,35-51,65.87867636800242
2022,52-65,44,1381,58,4,52-65,37.16180835212409
2022,66+,22,383,75,5,66+,19.570385790780925
2023,0-17,17,1204,9,1,0-17,34.698703145794944
2023,18-34,121,8668,26,2,18-34,93.10209449845905
2023,35-51,98,5303,43,3,35-51,72.82170006255004
2023,52-65,54,1846,58,4,52-65,42.96510211788167
2023,66+,31,498,75,5,66+,22.315913604421397
2024,0-17,40,1407,9,1,0-17,37.5099986670221
2024,18-34,211,10845,26,2,18-34,104.1393297462587
2024,35-51,133,6608,43,3,35-51,81.2896057316063
2024,52-65,78,2129,58,4,52-65,46.14108798023731
2024,66+,30,507,75,5,66+,22.516660498395403
